product_link,name,detail_cate,large_cate,image,price,discount,sale_quantity,rating_star,rating_quantity,describe,seller,seller_star,seller_reviews_quantity,seller_follow
https://tka.tiki.vn/pixel/pixel?data=kdu-UJ-xfm5AEcefT0qF8FGW6gTG_5qGTY0i3SXiFmYx-mmTjiUnfXv4PtSUqQBEjquDnDBdasbX8cg--lHoXOVw5zlNfyQNDfEQRH5_0lmQ5CtO525VG-SlPEkyK8FCoFGTWavrSjnFkFfkv23_6m8oG7g2KnoixozwjBIqE5CNgFaD4Nmfx9fe-LrjgY17Z7BYuOBBAVvxrui08dhcX4FhWc1fSkww6G-5pvzR_A3ux-DdXh4Om93IJjVQKwKbJGKhdzcO-Z_T0A-8LtB77iBVCgaX-MdOtMQrbByt4jSaSDRcI-vfhDK86v4CIPV-TKZtUmoNX-qE8JqCC-l_KHu6fLuo5Xx806qqvGO0rALHy3-nuNdouQzMEgZWZDET_Dbhvx2adEWjAwK_Q7mfQnqwUYB59JBTXgdQgLxBlbAVH_ATzxs3MO0WmZMkrMIQS0mLMzzq_EMlv5tsDSwglpeNV03NKI0grLpsoerhnj6ngqIpncaApquHMUPpv-3ZnRdmExPSOzNUckp187f6l0lMyTQmtF47CawM87MmN_CiGyMgxeI-MFNDcKjgG-E0xfwQJIWbcI7Bw2srDArptdA0keydUsCUEY764xqYX7J-wU0ki0OtxutOz0HUWIjy-v_0YwzPOItC3zG9Aob-CZI4ZLlJm2oQadYWprClxnRPFxur1cWQcyA0XP7iGvo9x_THHbWdhDYi0xbqUkdGW9qBkvkfqeng-w2WKIDOxfIi99ZOxvzIFr9hIEt3Xym1qXCwG2yM4rh3Nkl_eqFNJjNX8z97uHcUAHoAhbM5NYbooFACgUPfPlhJJ1rPI3S6zgt335MM7LtXkpDTHVzoAScPNkgwyYt7k_aQh5AKtwrW7TmMDybnjKAdmwJwKQeaCRWk6kbEhAD13lR3GW7_qmxDyqDlrTRTyuqCpMWDhHZFjCe5maRPnHggquoWo3fmdMOeu07GWGtxbuCKfcZI7gRugg2eMsMZ46NBS0MHSvlFIqgf5pJXmNcUbn3NL0VeDeux1WpJiX6sK9W0qT_ZZW_HQ7Y1X9W6xFKeE-DOY-A7bX2KNdSMP46z17qh4Dd8ZP7Na-1xmktsxkIDMoZKwkeZpcKl9PTjn_CAHwL9rYcxU66dFdpSwIZogKO2Ve7hM_C7wCqljNtNGYiVGvywGbRKdJpelZ0qaW9Uo7R4H_PHCd_hH1Rmydc-a9dWAHyW5ckFEHFJJBGT3-zqka7Q19USTqo2T2UYwBbuuYjClDO5jaIYZVwrb7bENyOYW1GsaBf5iLfXn779YvLYx2XKFrqBBWtNAxf8HnzsIRNOhZgrHtiC54OrOKZO_VOPwCDz506ozsgCi-lKXj6aOOf_X6ekGlqAykojlM9i5qGkiLD736s9EHBtm1bpVI57aAzNyJNA2EocHmP0tONHhmwTe6YeC7tdYW6IQicIn2eXySBQvmLEi-paFLFREai-Xaz-J0FwJhg2bXS6wJNNfF76ebN5kuKuG-p9kqMCse3zr5zp0GBecw&reqid=zq8kpccSjB2EPwPm&type=CLICK&pos=1,Sách - Chiến Quốc Sách (Lưu Hương) - SBOOKS,Triết Học phương Đông,Triết Học,https://salt.tikicdn.com/cache/750x750/ts/product/ef/97/08/329db9a785461393707c7a3f54771916.png,89000,-0.36,,,,,,,,
https://tka.tiki.vn/pixel/pixel?data=UQmKzZEqZXGhmldgYP3UMOkeHCz6RCLC7D3sN7jFgY7afojoCXOethnu3BDuISs0Pyqbh8s1Uia88A1zx2Q3jojooBcSnoyCSXbBhRM5Gee7Pd9kz0TWjjYDxz4RuoF9DqmieqFrZ3TnoIVk3LMIWBocyiqjLKYAUyHBpSEwAUKWwLeU7rDdBVpaaUbUMypB3ruD1JJfyM4pIRTiqkXZOP4OQ5HzF9zugAp6-EWWy_OsmV0W28zBCIk5DZkwEMkdU-k6CiY9G_4Kgv3yG-aEWo_WZEo6CuJR4zi38WhxzJp8J-q9fH6X5u-HzwVh20oWsN8m7XeKCoS_JTKG4EqhllrhsWCbHGgWZd00SLCOffIlYqthBNtW6m8mX_QAL54wrRIWTIBV_p4XeX3Y3dGV51TNHUbJ3KDbEwj-TVre-0ROpww5EghrDG0nJvhpwakKPKTu_FtSNbxWygl4qDkxUh67zGO-jlsmgk-RpZMaS6VfXcEl1bvq6QZB6H5JvaeKVvNtPCWeFhmZys6x1RHu5ZpW8xFUNFOA34UWBjrn7HL4f4FpDJLQqvrtrax44omruQMGOVCSnmNvqixVkVfnQMdgJcbvnSvqnw005KvTaDJlLHXSKTSgD-fuhXB6md91tnA4Ldprsi-i3d4_bxmzHqwPNvQwRLnOUlBre5xi8wpCTwtChHmbzXDb795D15zidM55VsDMxqS_eElPMrSLXL7uAYuD8vIGFHtmtWc0xAc0pac8dmKvN6ZV8XZtOMO1nzhUjvjbQNZx1E7mh3OIbKpN7Nn0a4BMctsdjZng_YA4Cx-CS85QRvd3WOK8fNogCDkiev83NUoacxI_CDS_fL-vsUQEdVX4HUeyrBmKw1qeeGinKWQP1QLT-t4unEQGClcJWHZyPWBs1BolkTKnSV_BUZpI-U0iwcmZsHzIxDCABBfrI6YCaYxdYdbiWwmiNX-0XfBFR2PVMGJGfkr4x__HbDhIUgDVTV08900c7S3RhXFX-2xRVnZKqV2g-c2oGlkiAkzliBvm3ujgULlutGeN57YuWAYIGIVXBh190taAfiKTqosvtJDCw99s334e42N_VWH6CpVV5nEgUIrcqTShIhGyGYWSPE07uG9N222gEV_KPS3jaeMz8VEop41TGXwxRC0lpFBBh3D6M0o2OJBoPckwQQwDRE9mTRAND7h-pz2fHygAZA05z51i9j-WZ7vtP2_wIwDg2d_vsVQPeu5ArL8DkHoa7tHJUrPYEVMkYAmb7CphzINnNdrlgG_m2X74N_oTluYzDeJLyYcXXARNv9JzzdTfYAg93M3DLOqPzrfUINmsTOL9vfrIE9PyANf-lSEwAb0Jvrl18_8FokiPzR5rsQcB-vGxbmTEHuMlxKNX5IDGkCPXfcvykw4L1LWQzi8ZuUfZQ62PcrQnmmvepqS5Q5NBfgMq1upWqj3-So8_AHESFuh-n-s5qXmEWhGjoPcBo1JmWFRp4_nTtHOW-YM-hTrCSWmZiVmkA0ttmD4r6BqM03Gu-RtQEcvL_L0TE0798O3WUBcCvidQAhlmKlVf1dMImwCK9g&reqid=zq8kpccSjB2EPwPm&type=CLICK&pos=2,Hai số phận (bìa cứng),Tiểu Thuyết Phương Tây,Tiểu Thuyết,https://salt.tikicdn.com/cache/750x750/ts/product/f5/f8/63/3af8234a91118f5df5b4ecc951c744fc.jpg,145000,-0.38,1.0,5.0,183.0,,,,,
https://tka.tiki.vn/pixel/pixel?data=Az9RRCfXu1M0d58R9rig1Twy7h2bIxMIm9fJuzPM--rhDq0phMGAnE3VYZdFaKjGmBDwV4Vpu6PWfYRQ3OUKpR6SdKrgdrK5hOdaVaqFnEGNMvniXIao0_TgIYBIyG20e8Hr8dtpDevVyrpt3Eg-pajHaOTDu4FaSp2gopod2lW85qvYCCs85PIOh4MWBjwtHNbcdp5R0FZWVj_HUyRY-bSiFB5cQCZr0ZAOPuAbvvEurnE3964tPIjCUQB9hGhj2cRLuSd-MAiOOsfur_ezlkkvHYCPSDYW850ZDvozYzOlbF1e8NSvesP9smLqwvXkvXqrauSy6g4f92fc8TDXXdRZj_y2MrZn7BQIAQQLXUvaTcWpE0lgH31z5ZvmYpuV_O1turfvxiJcpKrkr1S2G2agPc58LdgNHrw7_IWD0-i6L4_Jlz1AxK5g2NNBcGbvcuM9JKzEPkXK0XAZwlWq7Iv7ONhYjUuMyrYuTCuOIbz-UGpRTlhglU8gmr6W_b-yMLvpm3F_w3PYlkSJNiQTYBKRhKw9_iOcOQBV5CuM9AbR_7KuKekv76GmfX_H42hCy9d96NwzPLZsufgl8TxkAK8Tl4nFKoFJrdPxBJ2IJq9FBWO9yHSYuhLReAokh4y7203-Dj9vwG4tJlNrfkgwKg96HCUcHfbBIT0J5HCH6liGobNEHrhMO6-osDzf33Nx5esO3zzZjl45oCtwvTVSXD9CLyKn2bgP6Dqy3WRm4rDZQsIIvvr49CUWjeU7JolwIZFm7hEt53o8jVh3nqoeTEgazbCHM-tjB903X-hgjhq6J-tUL-KlQXgsmIMvpdKHTAbdqRTboEDBAnTUOljy5Gqr-aprPu7563yPP5eWRMwwpMP2euHo-5bjEn1x5WN6DQX0kATrkPq3NV3n9TkaV2-vyge-gJ9_BXrLhPONG5YcCC7q5Q06Fl8rUNHCsGy4LjDS6Dlq50HwydUmBTs8fkOoJEuOErPIcgzHpt_eoCohJdqrsjHABAMcCwFb4230l3nYN64bLvOaK-d1DIhDPeYJAtz5Sm7OKjLfheJ492hjFTJPbioCAe2KBNfc70tqE6jd6l07Yt5mDJ3V9LWt5uZCJXkygTk_1ObsqHDzMd-_0Mg83b88vb9_iTVOMxOpIGor5UcXe5fysiGbFwz5Tt3HqzcPPVjbGzv5z_FBnXLq0YiDx_las89UdDmX7DVxBtNh3k7cvnyREVzmrzREcKRGoZQc-aNoj_mNccpp69HN6yhX5Q5AY_cmAUbGGedZe5-YSrrP_P6_F7aCb3fr73uB8a6op6wrWodvHaRrJg0A5TVcodJ0Mkug0gfvZmM9p1XT8VrF2Rfw_OVd_cltEnj69yzQ8lKZxXB3tVlxewIb8CikgQAIeDsgtyAG4GMA5h__5ZR-RLLcwT2_g9uV_SKOyllaOw3OtYBhaxWcsN1cpxBr1hBtIQGvVsvOgbfJfd_CuQqhlq7Ckct_fBWEJCtELJ6ddTQlTSLhQkHiJE1xqFHMRRZp_rmsB55rA1E&reqid=zq8kpccSjB2EPwPm&type=CLICK&pos=3,Sách - Hoàng Lê Nhất Thống Chí (Ngô Gia Văn Thái) - SBOOKS,Lịch Sử Việt Nam,Sách Lịch sử,https://salt.tikicdn.com/cache/750x750/ts/product/2e/e5/7a/21893490efc7dd4e8c5f793b806a7bbe.png,89000,-0.36,1.0,,,,,,,
https://tka.tiki.vn/pixel/pixel?data=UMf0Z-5dGE8T6Wcdm9Eg-9cLZTz670uXz-FI5Vem7scUcvo-tVkrD51t1GTWZe0N8--Jroi1iG-V2JQumGY2LqwitG41p6EXxuUvkwMcnl3nncdL0PoyLYzKmmlfhDH3JzzxjCBSrNiuhEIaTVnwU0g8fjb787fWaaP2uOwYY4p_bT6sRKuJdYGUaGnuW7_k1wEY2XMr15PfJa8K3j01_-FPxs9vvHrKfp0Z5wEytaj0qkKxYPJTY7Lsfi7eUQDes4N0_1vVEzXx-eBtNzPFU30vgEp9derE_RqoiLT5x3yxKb5GWiXZ4-GqHKZQPOXnl9KkA8oghsnbSRSm-UWCk4jp7kiVECh2wCEq61TKfyoEGPoDXado9drbAaP_jjkTllgrufQKGFWGbKlKy2IKlw4s28P9YAmNMsKI2vZtNykQznO3-9kSLx8aVxfcWMgXblANUjgstoqtljKzXY-HccmEvL-RpWqeggmCTyA3uS7xZ6Dr-WFTPg8DWsD3cTZtJRyD38YEqUStoakAI7e6LeENMH2lxjNp6FmknUdTSf_01OwlCjcTt9RdGQ-zdnqQx8WFdpOp3hQl5a_U-R5gTu2UrG3T8Mo37E_NHwXKK5I_U9YkjT1W7ZfNxXymHIsXErAEUBGPrCCIFGx5Ac8HJBthxkejO1WUfrJHXE_YuRZKTVqoYs4xGmiucn4798JC-c9-Lmr7cXPGPSnjt4fGqG3sj9gijPTLtUOFjac0JB2TUrMt-JMT29SiLXe8Co1zxCQceWUDL671aKSxLMnyvKN5iddul5D-lhamOPJfCqzcDoFMl6UyOzGFUbqh6cJosGlLmZ0hA8WH_S35ZMudIdG3Mu5Pa5bH1UanTeDkqjBeVjRxhozrYZUu8LxaCctU3SDxpZd3c_H4ddmodZMJ0jCizkGWAyztsmBTkctYOJLeobsjFCCrXyKX7OFjBhrL561qrhEucd1Pf9-Q4LCxvwrOWtrk_2r6ZCef_9h0eJZsgHE0gUPqAr8zTxoDoxg5eHAACEPR75izpXBAYs49DP_JLrTr7hgbXhTQSSpFcwRqGfBEPhvvcjqAdduOwqbp13icv7fj3BNj0eFRghVI0muz_aUcZa6KLQpi2K_Y-TkmNTkPEZQS9wEIZDMr9dAtUSlCuHUXsMZyHqKTImP8TeBn0h8_uNdPkTsYtKBjRzdB1m8Ew6SAuCHmdyAJ7TajnDrWvQil2oXkcQW2GQYhWUTY3wPUSCgad5J2cVu3MYQ2Ge053ZY33xDmNyn9BHqZbtLvnatla5v5YyEjr5i76HbPbvfcAZoJzXatS9j8RqCwSVOIwUW7UsDKZ_GHneZW6i9D8o6meVmNi8gc5hB9DPaqeAvkAUhfzCrHFYOBYiaporxYU6PWUOo2gjAD-m4Y1wA5Egd0xdTV3sD1SdFWCyenu6O10PKr_Y5mXASIsuhQJ1DnPpR4y3rXuTxXIgU&reqid=zq8kpccSjB2EPwPm&type=CLICK&pos=4,Sách Flow - Dòng Chảy,Sách tư duy - Kỹ năng sống,Sách kỹ năng sống,https://salt.tikicdn.com/cache/750x750/ts/product/69/83/61/ccf22defc55170ec40cc80c4fafce321.jpg,177840,-0.22,1.0,5.0,147.0,,,,,
https://tka.tiki.vn/pixel/pixel?data=trroIqg-RoTqvdFGxQc4Gf8Cuo4OTTNt93msggz2CZkpCLUN_Yt1rPYTZ2m2QIA6rpggik5pfsr2vuqQDxu3KG9ModslIDDpB5ssvZKwar9bfyzgqqyKaFEAvyTYqWHdRG4WGhTxS2cA1RNbfVoNJ2PKe8awoUa_J4EnvngV10TU7ek2iesJFcnKNJQ7GQCKiy-CEj1zwKFwZHJ66JHMw30OS9OypIau8mfubfO3h1JSF5xA-QbX8tY2EeRjSSVpXTtq2NWFFUPBE3sVH6M7ktjemwqzE1lTVK08iRqDAScvDD5Ioa20Gpkhk46xLKbwymfy1QRz-dRsZh9Rt3aTx6t-GPfHJKOFM4IpiuHE-hdSKWuqsNKuHK83HR62j1DxvkMwL6bol6xC2HVtlwR6yHKt5cN-wrBXmiMQdgUyNcTDZFtMGe5kGev5Spoj_tU1BAzJy6992yypefdzH1WhPnlJcypskgQkumo3C_fjNugug9J9OiDqeQSveL9cxhMFx3LhMczC8Lce9hLAcGnEj4VAWLU5e8M3uZbrG2cGgQuJNBYHzV8byRo8oRlIZr6WsN_B_bgZzsLFRi0Ahwba417DTxegS2s1h3b5tT58e7rzMc6WloTLD8tYWCjqAo0-c942snpHiWk7qeI3OsYwiVhqAfPGspRsTo3XauFaqLe0LnLgcWGTvJEMbMsL0QsOM2S1Ovz9060ZjOmts3THIZNAdgXP58EYxhuwAm00aul7MXYLp__2GLuZXyFqM7DSykTG6Mx5Htk10_l_qAgrx11Ij-V0kBGxgRdKbB9HdRDXUKjG0qINA9KQ8gambXVMn-r8wGNfO40RAAb4dSXNMzz6iMXY-1GWd-066aTgpBXunyOJgMiDwC6wWqboK8Q_CtklcBvLGORhHJjvky7FSgoebKdyp6i9ZbTWM50DhDKiHCCU7epHB0oVbXnx_9T022cDgakBWahGe4Z-JtnbJv3xuN5yK76EBMAGpstwtIMWOwkt_aRR37717u6Mh7tMzkt-O-QPuGiaRYm2PmC69TAgVWbqIy_a-W5NYxw1DPv9Rp61rW4hFenenFP4Wnsbzfa1ZwgEwrIS36T7v5KmDMrNXiiIdY3bX3WX-se_eu3pLTPYBSUlz8kKGg9ohmybW9FtFH2CVOQIElyOcCyKkHoJQfwPob94kJ8qL74tDe7UJ-QT_u1agyvaiQdGyyxroGeGe7F5HuQzorNVM1zUfJ0Px-NBcEb9l_PzpaUnXU9BrG6PmGZt-6BQ15vcq83m-5_Rv65G2ldHPNkmUC1FiYXgBYtRUPYXuz-KaodXMn28Y729WCZQJnlnZIn_PaIaW34dTclEqeCNpa-DAZhEw4eDNlm9sM8Sf0pRXsxn-LMgLFz0EqJROLS6FGlmjIlJoQgIykMALHV3gaz0lJxbbPXsNbBqCZQsBrgOYk4G4i_t31QcOdWSVWLmnrRh-MambjlZA55jHfTKbe-sqwaH94bprfR3j9opaHZR7DQbVpAED_pQZ522RI1ahUdzSGI8Rr-72BfpJY4HAYGmho7iwCLN8Fg1pA&reqid=zq8kpccSjB2EPwPm&type=CLICK&pos=5,Tiếng Trung Quốc 3 - Sách bài học,Giáo trình Hán ngữ,Sách Học Tiếng Hoa,https://salt.tikicdn.com/cache/750x750/ts/product/29/a7/8b/49ae50c3f3895f4c9cd90a7c71730b18.png,88000,,12.0,4.0,3.0,,,,,
https://tiki.vn/ke-toan-via-he-thuc-hanh-bao-cao-tai-chinh-can-ban-tu-quay-ban-nuoc-chanh-p262977989.html?spid=262977990,Kế Toán Vỉa Hè - Thực Hành Báo Cáo Tài Chính Căn Bản Từ Quầy Bán Nước Chanh,Kế toán,Sách tài chính,https://salt.tikicdn.com/cache/750x750/ts/product/87/08/0e/db4f09b6ee8bc317f097ebcca1933a2d.png,160550,-0.19,13.0,5.0,248.0,,,,,
https://tiki.vn/bup-sen-xanh-p262590428.html?spid=262590431,Búp Sen Xanh,Đạo đức - Kỹ năng sống,Sách thiếu nhi,https://salt.tikicdn.com/cache/750x750/ts/product/0f/f9/70/e273b6980de4f6f550329aafe91578d8.jpg,50500,-0.3,1.0,5.0,86.0,,,,,
https://tiki.vn/suoi-am-mat-troi-p275599939.html?spid=275599940,Sưởi Ấm Mặt Trời: Tập 2 Của Cây Cam Ngọt,Truyện dài,Sách văn học,https://salt.tikicdn.com/cache/750x750/ts/product/b8/41/3c/30ea9e85a0944d7d548b330420333506.jpg,124000,-0.23,978.0,5.0,46.0,,,,,
https://tiki.vn/combo-4-tri-tue-cua-nguoi-xua-dao-ly-nguoi-xua-hieu-nguoi-de-dung-nguoi-co-hoc-tinh-hoa-minh-triet-phuong-dong-p190843478.html?spid=190843479,COMBO 4 - (TRÍ TUỆ CỦA NGƯỜI XƯA - ĐẠO LÝ NGƯỜI XƯA - HIỂU NGƯỜI để DÙNG NGƯỜI - CỔ HỌC TINH HOA) - MINH TRIẾT PHƯƠNG ĐÔNG,Triết Học phương Đông,Triết Học,https://salt.tikicdn.com/cache/750x750/ts/product/30/98/5e/7c8e482cc04dc36ec0185c7a4c85ad5f.jpg,294000,-0.49,2.0,4.8,162.0,,,,,
https://tiki.vn/ly-thuyet-tro-choi-p271379451.html?spid=271379452,Lý Thuyết Trò Chơi,Sách tư duy - Kỹ năng sống,Sách kỹ năng sống,https://salt.tikicdn.com/cache/750x750/ts/product/8a/b6/ba/1d95b88597f28e42d8ca91e3b3ff600f.jpg,126000,-0.3,8.0,4.7,405.0,,,,,
